Category,Project,Input - First question,Input - Follow-up 1 (optional),Input - Follow-up 2 (optional),Evaluator - checklist
Navigation,XS - ECS Racing,Create basic MVC architecture structure.,How can we adopt MVC architecture in the ECS-Network-Racing-Sample project?,,General answer illustrated.
Navigation,XS - ECS Racing,Create basic data flow with retrieving data from the network and placing it to the JSON File.,Create basic data flow with retrieving data from the network and placing it to the JSON File in context of the project.,,A code example with explanations.
Navigation,XS - ECS Racing,Create Service Locator implementation that can be used to store all current singletons from the project.,,,A code snippet with ServiceLocator implementation. + valid example on how to use it.
Navigation,XS - ECS Racing,Find a sample of an existing Entity/Component/System (for ECS) in the project.,,,A list of scripts related to ECS.
Navigation,XS - ECS Racing,give me an overall concept of the project,give me an description of main classes in the project architecture,,General info about the project
Navigation,XS - ECS Racing,give me an example how can I create new entity in the project,,,An example how to create new entity following the architecture and the code style
Navigation,XS - ECS Racing,Give me an example how can I add new feature into project,,,As in input
Navigation,XS - ECS Racing,Provide general overview of the architecture state.,,,General overview that mentions client-server architecture.
Navigation,XS - ECS Racing,Provide level of the code complexity.,,,Level of code complexity that is explained.
Navigation,XS - ECS Racing,Provide level of the code consistency.,Provide an example of inconsistency in naming conventions from the project scripts.,,A level of the code consistency with explanations and examples.
Navigation,XS - ECS Racing,Provide level of the code style.,Analyze scripts and provide level of the code style.,,A level of the code style with explanations and examples.
Navigation,XS - ECS Racing,How to improve architecture?,Provide an example of architecture improvement for the ECS-Network-Racing-Sample project.,,Tips on how to improve architecture of the project. + an example.
Refactoring,XS - ECS Racing,How to reduce code complexity?,Provide an example of complexity improvement for the ECS-Network-Racing-Sample project.,,Tips on how to improve code complexity in the project. + an example.
Refactoring,XS - ECS Racing,How to increase code consistency?,Provide an example of code consistency improvement for the ECS-Network-Racing-Sample project.,,Tips on how to improve code consistency in the project. + an example.
Asset creation and setup,XS - ECS Racing,"Create a new Unity scene with next structure:
- EntryPoint
- UI
-- LoadingScreenUI
--- ProgressBar
-- HomeScreenUI
--- Settings Button
-- SettingsScreenUI
--- Back Button",Can you give me this Unity scene file for current project?,,A scene file is provided or a script that would generate it.
Asset creation and setup,XS - ECS Racing,"Find a sample of UI Scene in the project and create a new one without content, but with full structure, name SettingsUI.",,,A scene file or a good manual guide on how to do it.
Asset creation and setup,XS - ECS Racing,"Find a Main scene in the project and create a new one without content, but with full structure, named WorldMap.",,,Provides a scene file or unity package with it following the request.
Asset creation and setup,XS - ECS Racing,Take UI object from MainMenu scene and create UI.prefab out of it with each child as nested prefab.,,,A unity package with prefabs.
Asset creation and setup,XS - ECS Racing,"<Create a new animation override controller for a this character, based on this one animation controller, animation names are equals>???",,,
Asset creation and setup,XS - ECS Racing,<Create animation mask for humanoid skeleton with only legs bones>???,,,
Asset creation and setup,XS - ECS Racing,What shader will be suitable to make Wheels_01 material from the project more rubbery like actual car tires?,,,A shader that does the job.
Asset creation and setup,XS - ECS Racing,Compress ecs-racing-logo.png texture in the project as much as possible without crucial quality drop.,,,A compressed texture or proper meta with set compression settings.
Asset creation and setup,XS - ECS Racing,<Divide hands and legs animations for two separated layers with the same animation states>???,,,
Navigation,XS - ECS Racing,Find all 3d models used in the project.,,,A list of 3d models used in the project.
Navigation,XS - ECS Racing,Find all prefabs that contain AirPlaneTail prefab as nested.,,,A list of prefabs using AirPlaneTail as nested prefab.
Navigation,XS - ECS Racing,What type of resource management was built in the project?,How the resources flow is organized?,,Describing on how prefabs fetching or other asset retrieval works.
Navigation,XS - ECS Racing,What types of image compression is used in the project?,Can you inspect meta files for such images and list types of image compression used in the project?,,Gives concrete types of image compression that are used in the project.
Navigation,XS - ECS Racing,Provide general overview of the project structure state,Provide project files and folders structure overview.,,Files and folders structure overview.
Navigation,XS - ECS Racing,Provide general overview of the resources optimization.,Provide general overview of the assets optimization.,,"A set of suggestions on how to optimize current resources in the project (textures, models, audio clips etc)"
Refactoring,XS - ECS Racing,How to improve project structure?,Provide an example of project structure improvement for the ECS-Network-Racing-Sample project.,,Recommendations on how to improve given project.
Refactoring,XS - ECS Racing,How to reduce codebase navigation complexity?,Provide an example based on the ECS-Network-Racing-Sample project.,,Recommendations on how to improve code complexity for the given project.
Refactoring,XS - ECS Racing,How to reduce assets weight?,Give me the list of most heavy files with assets from the ECS-Network-Racing-Sample project where I can apply these optimization techniques.,,A list of suggestions and file references in code.
Coding tasks (snippets),XS - ECS Racing,Create system that is responsible for bot AI mechanics and processes CheckPointAspect data.,Provide code for this and instruction on how to integrate it in the ECS-Network-Racing-Sample project.,,A system class with AI logic to move to next checkpoint.
Coding tasks (snippets),XS - ECS Racing,"Create UI Screen script that responsible for leaderboard screen, receives LeaderboardData and displaying rank and name data on the UI.

    public struct LeaderboardData : IBufferElementData
    {
        [GhostField] public int Rank;
        [GhostField] public FixedString128Bytes Name;
        [GhostField] public float Time;
        [GhostField] public int Ping;
    }",How can I integrate this script into ECS-Network-Racing-Sample project and pass existing LeaderboardData from ECS?,,A working script that is easy to integrate into the project.
Coding tasks (snippets),XS - ECS Racing,Create injection constructor that injects PlayerAudioManager to the UpdateAudioSourceSystem.,,,A valid code example.
Coding tasks (snippets),XS - ECS Racing,Create interface that responsible for boosts mechanics.,Provide instruction on how to integrate it in the ECS-Network-Racing-Sample project.,,An interface that handles boost mechanics.
Test automation,XS - ECS Racing,"Create UnitTest for UpdateAudioSourceSystem.

    /// <summary>
    /// Update the Player Audio Sources position and volume
    /// </summary>
    [UpdateAfter(typeof(UpdateCameraTargetSystem))]
    [WorldSystemFilter(WorldSystemFilterFlags.ClientSimulation | WorldSystemFilterFlags.ThinClientSimulation)]
    public partial struct UpdateAudioSourceSystem : ISystem
    {
        public void OnDestroy(ref SystemState state)
        {
            foreach (var car in Query<PlayerAspect>().WithAll<AudioSourceTag>())
            {
                PlayerAudioManager.Instance.DeleteAudioSource(car.Self);
            }
        }

        public void OnUpdate(ref SystemState state)
        {
            if (PlayerAudioManager.Instance == null)
            {
                return;
            }

            var ecb = new EntityCommandBuffer(state.WorldUpdateAllocator);
            foreach (var car in Query<PlayerAspect>().WithNone<AudioSourceTag>())
            {
                var isLocalUser = state.EntityManager.HasComponent<LocalUser>(car.Self);
                PlayerAudioManager.Instance.AddAudioSource(car.Self, isLocalUser);
                ecb.AddComponent<AudioSourceTag>(car.Self);
            }

            foreach (var audio in Query<AudioAspect>())
            {
                PlayerAudioManager.Instance.UpdatePitchAndVolume(audio.Self, audio.GetVolumeRange());
                PlayerAudioManager.Instance.UpdatePosition(audio.Self, audio.LocalToWorld.Position,
                    state.EntityManager);
            }

            ecb.Playback(state.EntityManager);
            ecb.Dispose();
        }
    }",,,A working unit-test.
Navigation,XS - ECS Racing,Find object that is responsible for spawning players.,,,A script responsible for spawning player object.
Navigation,XS - ECS Racing,Find UI entity related to the UI popup with start race button.,,,A script where the button is located.
Navigation,XS - ECS Racing,Find entrypoint for the race functionality.,,,A script where entrypoint is located.
Navigation,XS - ECS Racing,Find all managers related to the audio functionality.,,,A script where managers are located.
